Company number,Total number of officers,Number of active officers,Number of inactive officers,Number of non-persons officers,Total number of person with significant control,Number of active persons with significant control,Number of ceased persons with significant control,Number of non-persons with significant control,Debt/Equity,Good/Bad
05788648,5,2,3,0,1,1,0,1,440304.0,0
02067547,20,2,18,0,1,1,0,1,0.1,1
02813342,28,1,27,0,1,1,0,1,0.1,1
05465512,8,1,7,0,2,2,0,0,0.1,1
02897789,64,2,62,0,0,0,0,0,0.1,0
08251122,1,1,0,0,1,1,0,0,-6.851700680272109,0
02476402,47,4,43,0,2,2,0,2,0.0,1
02215615,5,3,2,0,1,1,0,0,2703.67,0
01998736,18,1,17,0,0,0,0,0,0.1,1
00544683,40,4,36,0,1,1,0,1,0.1,1
SC348693,3,0,3,0,0,0,0,0,0.1,1
SC165922,9,4,5,0,3,3,0,0,0.012769086289612196,1
06470668,5,2,3,0,1,1,0,0,1027.7623762376238,1
05821594,5,2,3,0,1,1,0,0,0.0,0
02917448,16,3,13,0,1,1,0,0,0.1,1
OC309328,90,3,87,1,1,1,0,1,0.1,1
09125474,2,0,2,0,1,1,0,0,3.562681862269641,0
02103630,33,6,27,0,1,1,0,1,0.1,1
08613929,12,6,6,0,0,0,0,0,0.1,1
09671085,1,0,1,0,1,1,0,0,93.25,0
10569513,1,0,1,0,1,1,0,0,0.1,0
05960522,6,0,6,0,0,0,0,0,0.1,1
06923228,2,0,2,0,0,0,0,0,0.1,1
SC284647,10,5,5,0,1,1,0,1,0.1,0
03856988,21,3,18,0,0,0,0,0,0.0,1
06032719,5,0,5,0,0,0,0,0,0.1,1
SC329184,13,8,5,0,1,1,0,1,0.1,1
02180205,41,3,38,0,0,0,0,0,0.1,1
09164619,6,4,2,0,3,1,2,1,0.1,1
11843120,1,1,0,0,0,0,0,0,0.1,0
SC367840,24,6,18,0,1,1,0,1,0.1,0
04952162,5,3,2,0,2,2,0,0,0.1,0
07430281,4,2,2,0,0,0,0,0,0.0,0
03792911,23,3,20,0,1,1,0,1,0.1,1
00650386,3,3,0,0,0,0,0,0,0.1,0
00697641,28,10,18,0,1,1,0,1,0.1,1
03013301,17,4,13,0,6,6,0,0,0.0,1
07469385,4,1,3,0,1,1,0,0,0.0,1
06636660,11,0,11,0,1,1,0,1,0.0,1
07330087,6,3,3,0,1,1,0,1,0.0,1
06306629,3,3,0,0,2,2,0,0,0.1,1
05925677,7,2,5,0,2,2,0,0,0.1,1
02835454,70,16,54,0,0,0,0,0,1.95455,1
00737328,7,3,4,0,2,2,0,0,286.921,1
04087902,20,6,14,0,1,1,0,0,0.1,1
06678337,7,0,7,0,0,0,0,0,0.1,1
04061756,18,0,18,0,0,0,0,0,0.1,1
10399088,1,1,0,0,1,1,0,0,0.0,1
01812912,24,5,19,0,0,0,0,0,0.1,1
06050955,4,2,2,0,1,1,0,0,2.7478300593878484,1
05628725,13,6,7,0,4,4,0,0,0.1,1
06781349,5,0,5,0,0,0,0,0,0.1,1
02586357,71,6,65,0,1,1,0,1,0.1,1
02306906,32,5,27,0,2,2,0,2,0.1,1
10614921,1,0,1,0,0,0,0,0,0.1,0
06813003,2,0,2,0,0,0,0,0,0.1,1
SC581134,2,2,0,0,2,2,0,0,0.1,0
SC210525,11,5,6,0,1,1,0,1,0.1,1
SC232862,5,3,2,0,1,1,0,0,5443.054,1
05312655,6,3,3,0,1,1,0,0,1.3718004244445408,0
SC109923,35,0,35,0,0,0,0,0,0.1,1
03357705,13,0,13,0,0,0,0,0,0.1,1
10445473,3,3,0,0,3,2,1,0,0.1,1
08205091,3,1,2,0,1,1,0,0,1.316403862608483,0
SC248228,3,3,0,0,2,2,0,0,0.1,0
07288186,13,8,5,0,1,1,0,0,0.0,0
03389930,12,2,10,0,0,0,0,0,0.0,1
09712678,1,1,0,0,1,1,0,0,0.0,0
05145339,22,6,16,0,1,1,0,1,0.1,1
04115082,18,9,9,0,1,1,0,0,0.1,1
02610711,78,4,74,0,0,0,0,0,0.1,1
FC029562,4,0,4,0,0,0,0,0,0.1,1
SC557595,12,9,3,0,0,0,0,0,0.0,0
SC128221,23,2,21,0,0,0,0,0,0.1,1
08658179,3,0,3,0,2,2,0,0,-5.613102119460501,1
05663774,6,0,6,0,0,0,0,0,0.0,1
IP031490,0,0,0,0,0,0,0,0,0.1,0
SC064429,43,7,36,0,0,0,0,0,0.0,1
07738656,3,2,1,0,2,2,0,0,0.7207371405427299,0
07575697,8,6,2,0,0,0,0,0,0.1,0
09487128,1,1,0,0,1,1,0,0,4653.0,0
01852833,24,4,20,0,2,0,2,0,3.614831211953514,0
SC044980,22,2,20,0,1,1,0,1,0.1,1
07108723,9,4,5,0,1,1,0,1,0.1,1
03766009,6,3,3,0,2,2,0,0,0.0,1
07616123,3,2,1,0,1,1,0,0,0.1,0
OC325075,4,2,2,0,2,1,1,0,0.1,1
02368530,33,1,32,0,3,1,2,0,0.1,1
06450467,5,3,2,0,1,1,0,0,0.0,1
00513627,40,11,29,0,0,0,0,0,0.0,0
